clean_path,degraded_path,degradation_type,parameters_used
synthetic_pairs\clean\00001336_000.png,synthetic_pairs\degraded\00001336_000_deg_1_contrast_compression.png,contrast_compression,pct=0.51
synthetic_pairs\clean\00001336_000.png,synthetic_pairs\degraded\00001336_000_deg_2_poisson_noise.png,poisson_noise,scale=22.5
synthetic_pairs\clean\00001336_000.png,synthetic_pairs\degraded\00001336_000_deg_3_contrast_compression.png,contrast_compression,pct=0.32
synthetic_pairs\clean\00001337_000.png,synthetic_pairs\degraded\00001337_000_deg_1_underexposure.png,underexposure,factor=0.69
synthetic_pairs\clean\00001337_000.png,synthetic_pairs\degraded\00001337_000_deg_2_contrast_compression.png,contrast_compression,pct=0.46
synthetic_pairs\clean\00001337_000.png,synthetic_pairs\degraded\00001337_000_deg_3_poisson_noise.png,poisson_noise,scale=20.4
synthetic_pairs\clean\00001338_000.png,synthetic_pairs\degraded\00001338_000_deg_1_underexposure.png,underexposure,factor=0.55
synthetic_pairs\clean\00001338_000.png,synthetic_pairs\degraded\00001338_000_deg_2_gaussian_blur.png,gaussian_blur,sigma=1.36
synthetic_pairs\clean\00001338_000.png,synthetic_pairs\degraded\00001338_000_deg_3_underexposure.png,underexposure,factor=0.48
synthetic_pairs\clean\00001338_001.png,synthetic_pairs\degraded\00001338_001_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0259
synthetic_pairs\clean\00001338_001.png,synthetic_pairs\degraded\00001338_001_deg_2_poisson_noise.png,poisson_noise,scale=18.9
synthetic_pairs\clean\00001338_001.png,synthetic_pairs\degraded\00001338_001_deg_3_gaussian_blur.png,gaussian_blur,sigma=2.15
synthetic_pairs\clean\00001338_002.png,synthetic_pairs\degraded\00001338_002_deg_1_underexposure.png,underexposure,factor=0.57
synthetic_pairs\clean\00001338_002.png,synthetic_pairs\degraded\00001338_002_deg_2_contrast_compression.png,contrast_compression,pct=0.52
synthetic_pairs\clean\00001338_002.png,synthetic_pairs\degraded\00001338_002_deg_3_gaussian_blur.png,gaussian_blur,sigma=2.44
synthetic_pairs\clean\00001338_003.png,synthetic_pairs\degraded\00001338_003_deg_1_combined.png,combined,"gaussian_blur+gaussian_noise(sigma=0.89,variance=0.0079)"
synthetic_pairs\clean\00001338_003.png,synthetic_pairs\degraded\00001338_003_deg_2_contrast_compression.png,contrast_compression,pct=0.41
synthetic_pairs\clean\00001338_003.png,synthetic_pairs\degraded\00001338_003_deg_3_underexposure.png,underexposure,factor=0.64
synthetic_pairs\clean\00001339_000.png,synthetic_pairs\degraded\00001339_000_deg_1_combined.png,combined,"gaussian_noise+contrast_compression(variance=0.0352,pct=0.48)"
synthetic_pairs\clean\00001339_000.png,synthetic_pairs\degraded\00001339_000_deg_2_gaussian_noise.png,gaussian_noise,variance=0.0365
synthetic_pairs\clean\00001339_000.png,synthetic_pairs\degraded\00001339_000_deg_3_underexposure.png,underexposure,factor=0.40
synthetic_pairs\clean\00001340_000.png,synthetic_pairs\degraded\00001340_000_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0101
synthetic_pairs\clean\00001340_000.png,synthetic_pairs\degraded\00001340_000_deg_2_combined.png,combined,"gaussian_blur+poisson_noise(sigma=2.72,scale=39.3)"
synthetic_pairs\clean\00001340_000.png,synthetic_pairs\degraded\00001340_000_deg_3_contrast_compression.png,contrast_compression,pct=0.57
synthetic_pairs\clean\00001341_000.png,synthetic_pairs\degraded\00001341_000_deg_1_underexposure.png,underexposure,factor=0.39
synthetic_pairs\clean\00001341_000.png,synthetic_pairs\degraded\00001341_000_deg_2_contrast_compression.png,contrast_compression,pct=0.33
synthetic_pairs\clean\00001341_000.png,synthetic_pairs\degraded\00001341_000_deg_3_gaussian_noise.png,gaussian_noise,variance=0.0214
synthetic_pairs\clean\00001342_000.png,synthetic_pairs\degraded\00001342_000_deg_1_poisson_noise.png,poisson_noise,scale=10.4
synthetic_pairs\clean\00001342_000.png,synthetic_pairs\degraded\00001342_000_deg_2_gaussian_blur.png,gaussian_blur,sigma=2.43
synthetic_pairs\clean\00001342_000.png,synthetic_pairs\degraded\00001342_000_deg_3_underexposure.png,underexposure,factor=0.35
synthetic_pairs\clean\00001342_001.png,synthetic_pairs\degraded\00001342_001_deg_1_combined.png,combined,"gaussian_blur+gaussian_noise(sigma=3.37,variance=0.0053)"
synthetic_pairs\clean\00001342_001.png,synthetic_pairs\degraded\00001342_001_deg_2_contrast_compression.png,contrast_compression,pct=0.54
synthetic_pairs\clean\00001342_001.png,synthetic_pairs\degraded\00001342_001_deg_3_poisson_noise.png,poisson_noise,scale=41.6
synthetic_pairs\clean\00001343_000.png,synthetic_pairs\degraded\00001343_000_deg_1_underexposure.png,underexposure,factor=0.32
synthetic_pairs\clean\00001343_000.png,synthetic_pairs\degraded\00001343_000_deg_2_poisson_noise.png,poisson_noise,scale=29.9
synthetic_pairs\clean\00001343_000.png,synthetic_pairs\degraded\00001343_000_deg_3_gaussian_blur.png,gaussian_blur,sigma=1.64
synthetic_pairs\clean\00001344_000.png,synthetic_pairs\degraded\00001344_000_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0381
synthetic_pairs\clean\00001344_000.png,synthetic_pairs\degraded\00001344_000_deg_2_combined.png,combined,"gaussian_blur+gaussian_noise(sigma=1.99,variance=0.0150)"
synthetic_pairs\clean\00001344_000.png,synthetic_pairs\degraded\00001344_000_deg_3_gaussian_blur.png,gaussian_blur,sigma=2.29
synthetic_pairs\clean\00001345_000.png,synthetic_pairs\degraded\00001345_000_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0269
synthetic_pairs\clean\00001345_000.png,synthetic_pairs\degraded\00001345_000_deg_2_combined.png,combined,"underexposure+contrast_compression(factor=0.38,pct=0.42)"
synthetic_pairs\clean\00001345_000.png,synthetic_pairs\degraded\00001345_000_deg_3_contrast_compression.png,contrast_compression,pct=0.57
synthetic_pairs\clean\00001346_000.png,synthetic_pairs\degraded\00001346_000_deg_1_gaussian_noise.png,gaussian_noise,variance=0.0220
synthetic_pairs\clean\00001346_000.png,synthetic_pairs\degraded\00001346_000_deg_2_poisson_noise.png,poisson_noise,scale=10.9
synthetic_pairs\clean\00001346_000.png,synthetic_pairs\degraded\00001346_000_deg_3_gaussian_noise.png,gaussian_noise,variance=0.0446
synthetic_pairs\clean\00001347_000.png,synthetic_pairs\degraded\00001347_000_deg_1_underexposure.png,underexposure,factor=0.68
synthetic_pairs\clean\00001347_000.png,synthetic_pairs\degraded\00001347_000_deg_2_contrast_compression.png,contrast_compression,pct=0.49
synthetic_pairs\clean\00001347_000.png,synthetic_pairs\degraded\00001347_000_deg_3_combined.png,combined,"gaussian_noise+underexposure(variance=0.0159,factor=0.70)"
synthetic_pairs\clean\00001347_001.png,synthetic_pairs\degraded\00001347_001_deg_1_gaussian_blur.png,gaussian_blur,sigma=3.24
synthetic_pairs\clean\00001347_001.png,synthetic_pairs\degraded\00001347_001_deg_2_poisson_noise.png,poisson_noise,scale=47.2
synthetic_pairs\clean\00001347_001.png,synthetic_pairs\degraded\00001347_001_deg_3_combined.png,combined,"poisson_noise+gaussian_blur(scale=18.7,sigma=2.88)"
synthetic_pairs\clean\00001347_002.png,synthetic_pairs\degraded\00001347_002_deg_1_poisson_noise.png,poisson_noise,scale=20.7
synthetic_pairs\clean\00001347_002.png,synthetic_pairs\degraded\00001347_002_deg_2_gaussian_blur.png,gaussian_blur,sigma=2.02
synthetic_pairs\clean\00001347_002.png,synthetic_pairs\degraded\00001347_002_deg_3_combined.png,combined,"gaussian_blur+gaussian_noise(sigma=2.08,variance=0.0092)"
synthetic_pairs\clean\00001348_000.png,synthetic_pairs\degraded\00001348_000_deg_1_poisson_noise.png,poisson_noise,scale=21.3
synthetic_pairs\clean\00001348_000.png,synthetic_pairs\degraded\00001348_000_deg_2_underexposure.png,underexposure,factor=0.51
synthetic_pairs\clean\00001348_000.png,synthetic_pairs\degraded\00001348_000_deg_3_gaussian_noise.png,gaussian_noise,variance=0.0122
synthetic_pairs\clean\00001349_000.png,synthetic_pairs\degraded\00001349_000_deg_1_underexposure.png,underexposure,factor=0.30
synthetic_pairs\clean\00001349_000.png,synthetic_pairs\degraded\00001349_000_deg_2_combined.png,combined,"gaussian_noise+contrast_compression(variance=0.0246,pct=0.45)"
synthetic_pairs\clean\00001349_000.png,synthetic_pairs\degraded\00001349_000_deg_3_contrast_compression.png,contrast_compression,pct=0.34
synthetic_pairs\clean\00001350_000.png,synthetic_pairs\degraded\00001350_000_deg_1_underexposure.png,underexposure,factor=0.42
synthetic_pairs\clean\00001350_000.png,synthetic_pairs\degraded\00001350_000_deg_2_poisson_noise.png,poisson_noise,scale=25.0
synthetic_pairs\clean\00001350_000.png,synthetic_pairs\degraded\00001350_000_deg_3_gaussian_blur.png,gaussian_blur,sigma=3.24
synthetic_pairs\clean\00001351_000.png,synthetic_pairs\degraded\00001351_000_deg_1_underexposure.png,underexposure,factor=0.42
synthetic_pairs\clean\00001351_000.png,synthetic_pairs\degraded\00001351_000_deg_2_contrast_compression.png,contrast_compression,pct=0.51
synthetic_pairs\clean\00001351_000.png,synthetic_pairs\degraded\00001351_000_deg_3_poisson_noise.png,poisson_noise,scale=14.7
synthetic_pairs\clean\00001352_000.png,synthetic_pairs\degraded\00001352_000_deg_1_underexposure.png,underexposure,factor=0.41
synthetic_pairs\clean\00001352_000.png,synthetic_pairs\degraded\00001352_000_deg_2_poisson_noise.png,poisson_noise,scale=30.5
synthetic_pairs\clean\00001352_000.png,synthetic_pairs\degraded\00001352_000_deg_3_contrast_compression.png,contrast_compression,pct=0.30
synthetic_pairs\clean\00001353_000.png,synthetic_pairs\degraded\00001353_000_deg_1_contrast_compression.png,contrast_compression,pct=0.39
synthetic_pairs\clean\00001353_000.png,synthetic_pairs\degraded\00001353_000_deg_2_combined.png,combined,"gaussian_blur+underexposure(sigma=1.41,factor=0.61)"
synthetic_pairs\clean\00001353_000.png,synthetic_pairs\degraded\00001353_000_deg_3_underexposure.png,underexposure,factor=0.34
synthetic_pairs\clean\00001354_000.png,synthetic_pairs\degraded\00001354_000_deg_1_poisson_noise.png,poisson_noise,scale=30.4
synthetic_pairs\clean\00001354_000.png,synthetic_pairs\degraded\00001354_000_deg_2_gaussian_blur.png,gaussian_blur,sigma=2.68
synthetic_pairs\clean\00001354_000.png,synthetic_pairs\degraded\00001354_000_deg_3_underexposure.png,underexposure,factor=0.32
